Data;Mese;Descrizione;Importo Entrata;Importo Uscita;Categoria;Conto
01/01/2025;Gennaio;mc;;15,35 €;Bar e Ristoranti;Buddybank
01/01/2025;Gennaio;bar;;2,40 €;Bar e Ristoranti;Satispay
01/01/2025;Gennaio;ricarica buoni pasto;168,00 €;;Altre Entrate;Buoni Pasto
02/01/2025;Gennaio;spesa;;23,28 €;Spesa;Buddybank
02/01/2025;Gennaio;spesa;;24,00 €;Spesa;Buoni Pasto
03/01/2025;Gennaio;skipass;;55,00 €;Svago e Intrattenimento;Buddybank
03/01/2025;Gennaio;cinema;;42,50 €;Svago e Intrattenimento;Buddybank
03/01/2025;Gennaio;cinema;20,00 €;;Svago e Intrattenimento;Cash
06/01/2025;Gennaio;aws;;4,16 €;Casa e Utenze;Buddybank
06/01/2025;Gennaio;ricarica satispay;;42,28 €;Trasferimenti;Buddybank
06/01/2025;Gennaio;ape;;5,00 €;Bar e Ristoranti;Cash
06/01/2025;Gennaio;ricarica satispay;42,28 €;;Trasferimenti;Satispay
07/01/2025;Gennaio;bar;;2,20 €;Bar e Ristoranti;Cash
07/01/2025;Gennaio;spesa;;1,80 €;Spesa;Cash
07/01/2025;Gennaio;erogazione liberale savona startup;;1,00 €;Altro;Satispay
07/01/2025;Gennaio;spesa;;8,00 €;Spesa;Buoni Pasto
08/01/2025;Gennaio;chiusura n26;;746,07 €;Trasferimenti;N26
09/01/2025;Gennaio;macellaio;;5,50 €;Spesa;Cash
09/01/2025;Gennaio;focaccia;;2,00 €;Spesa;Cash
09/01/2025;Gennaio;lettiera gatto;;3,99 €;Spesa;Buddybank
09/01/2025;Gennaio;avvio cc arancio;;1,00 €;Trasferimenti;Buddybank
09/01/2025;Gennaio;chiusura n26;746,07 €;;Trasferimenti;Revolut
09/01/2025;Gennaio;caffè;;1,20 €;Bar e Ristoranti;Satispay
09/01/2025;Gennaio;imposta di bollo CD;;9,50 €;Altro;ING - CD
09/01/2025;Gennaio;avvio cc arancio;1,00 €;;Trasferimenti;ING - CC
10/01/2025;Gennaio;trasferimento;;50,00 €;Trasferimenti;Buddybank
10/01/2025;Gennaio;trasferimento;1,00 €;;Trasferimenti;Buddybank
10/01/2025;Gennaio;benzina;;29,34 €;Viaggi e Trasporti;Buddybank
10/01/2025;Gennaio;pranzo;;5,50 €;Bar e Ristoranti;Buddybank
10/01/2025;Gennaio;trasferimento;50,00 €;;Trasferimenti;ING - CC
10/01/2025;Gennaio;trasferimento;;1,00 €;Trasferimenti;ING - CC
10/01/2025;Gennaio;pranzo;;8,00 €;Bar e Ristoranti;Buoni Pasto
11/01/2025;Gennaio;brunch;;50,00 €;Bar e Ristoranti;Buddybank
11/01/2025;Gennaio;backblaze;;1,90 €;Casa e Utenze;Buddybank
11/01/2025;Gennaio;bar ikea;;5,20 €;Bar e Ristoranti;Buddybank
11/01/2025;Gennaio;borsone patagonia;;24,98 €;Shopping;Buddybank
11/01/2025;Gennaio;cinema;;23,00 €;Svago e Intrattenimento;Buddybank
11/01/2025;Gennaio;acqua;;2,60 €;Bar e Ristoranti;Cash
12/01/2025;Gennaio;iliad;;9,99 €;Casa e Utenze;Buddybank
12/01/2025;Gennaio;birre;;12,00 €;Bar e Ristoranti;Buddybank
12/01/2025;Gennaio;trasferimento;;45,70 €;Trasferimenti;ING - CD
12/01/2025;Gennaio;trasferimento;45,70 €;;Trasferimenti;ING - CC
13/01/2025;Gennaio;quota associativa savona startup 2025;;10,00 €;Altro;Buddybank
13/01/2025;Gennaio;bla bla car;24,00 €;;Viaggi e Trasporti;Buddybank
13/01/2025;Gennaio;pranzo;;6,40 €;Bar e Ristoranti;Buddybank
13/01/2025;Gennaio;benza vespa;;11,10 €;Viaggi e Trasporti;Buddybank
13/01/2025;Gennaio;bla bla car;10,00 €;;Viaggi e Trasporti;Paypal
13/01/2025;Gennaio;pranzo;;8,00 €;Bar e Ristoranti;Buoni Pasto
14/01/2025;Gennaio;organizer cavi;;21,99 €;Shopping;Buddybank
14/01/2025;Gennaio;comp;0,15 €;;Altro;Cash
14/01/2025;Gennaio;gastronomia;;32,00 €;Spesa;Buoni Pasto
15/01/2025;Gennaio;caffè focaccia;;3,70 €;Bar e Ristoranti;Buddybank
15/01/2025;Gennaio;bla bla car;12,00 €;;Viaggi e Trasporti;Buddybank
15/01/2025;Gennaio;trasferimento;;40,01 €;Trasferimenti;Revolut
15/01/2025;Gennaio;bar;;3,70 €;Bar e Ristoranti;Satispay
15/01/2025;Gennaio;trasferimento;40,01 €;;Trasferimenti;ING - CC
16/01/2025;Gennaio;mc;;10,15 €;Bar e Ristoranti;Buddybank
16/01/2025;Gennaio;unipolmove;;102,20 €;Viaggi e Trasporti;ING - CC
18/01/2025;Gennaio;pizza;;12,08 €;Bar e Ristoranti;Buddybank
18/01/2025;Gennaio;colazione bar;;6,20 €;Bar e Ristoranti;Satispay
18/01/2025;Gennaio;natta;;8,00 €;Spesa;Buoni Pasto
19/01/2025;Gennaio;packing cubes;;34,99 €;Shopping;Buddybank
19/01/2025;Gennaio;natta;;16,00 €;Spesa;Buoni Pasto
20/01/2025;Gennaio;trasferimento;;300,00 €;Trasferimenti;Buddybank
20/01/2025;Gennaio;trasferimento;300,00 €;;Trasferimenti;ING - CC
20/01/2025;Gennaio;casa del formaggio;;16,00 €;Spesa;Buoni Pasto
21/01/2025;Gennaio;benzina;;50,27 €;Viaggi e Trasporti;Buddybank
21/01/2025;Gennaio;pranzo;;5,00 €;Bar e Ristoranti;ING - CC
21/01/2025;Gennaio;parcheggio;;2,00 €;Viaggi e Trasporti;ING - CC
21/01/2025;Gennaio;pranzo;;8,00 €;Bar e Ristoranti;Buoni Pasto
22/01/2025;Gennaio;pranzo;;3,30 €;Bar e Ristoranti;Buddybank
22/01/2025;Gennaio;ape;;14,50 €;Bar e Ristoranti;ING - CC
22/01/2025;Gennaio;pranzo;;8,00 €;Bar e Ristoranti;Buoni Pasto
23/01/2025;Gennaio;kfc;;1,50 €;Bar e Ristoranti;Satispay
24/01/2025;Gennaio;bar;;4,90 €;Bar e Ristoranti;Satispay
24/01/2025;Gennaio;benzina;;47,70 €;Viaggi e Trasporti;ING - CC
24/01/2025;Gennaio;hamericas;;20,83 €;Bar e Ristoranti;ING - CC
25/01/2025;Gennaio;birra;;5,00 €;Bar e Ristoranti;Buddybank
25/01/2025;Gennaio;pizza;;30,00 €;Bar e Ristoranti;Buddybank
26/01/2025;Gennaio;felpa;;39,95 €;Shopping;Buddybank
26/01/2025;Gennaio;bollino residenti;;6,00 €;Auto e Moto;Satispay
26/01/2025;Gennaio;pranzo alassio;;42,00 €;Bar e Ristoranti;ING - CC
27/01/2025;Gennaio;anthropic;;5,86 €;Casa e Utenze;ING - CC
27/01/2025;Gennaio;google one;;2,99 €;Casa e Utenze;Paypal
27/01/2025;Gennaio;spesa;;24,00 €;Spesa;Buoni Pasto
28/01/2025;Gennaio;bla bla car;12,00 €;;Viaggi e Trasporti;Buddybank
28/01/2025;Gennaio;cursor;;19,26 €;Casa e Utenze;Revolut
28/01/2025;Gennaio;burger;;2,80 €;Bar e Ristoranti;Satispay
28/01/2025;Gennaio;palestra;;79,60 €;Svago e Intrattenimento;ING - CC
29/01/2025;Gennaio;pranzo;;11,00 €;Bar e Ristoranti;Buddybank
29/01/2025;Gennaio;bar colaz;;2,40 €;Bar e Ristoranti;Satispay
29/01/2025;Gennaio;benzina;;28,20 €;Viaggi e Trasporti;ING - CC
30/01/2025;Gennaio;pranzo;;20,18 €;Bar e Ristoranti;ING - CC
31/01/2025;Gennaio;trasferimento;150,00 €;;Trasferimenti;Revolut
31/01/2025;Gennaio;pranzo;;2,00 €;Bar e Ristoranti;Buddybank
31/01/2025;Gennaio;stipendio;1.799,00 €;;Stipendio;ING - CC
31/01/2025;Gennaio;commissione tasso di cambio;;0,12 €;Altro;ING - CC
31/01/2025;Gennaio;trasferimento;;150,00 €;Trasferimenti;ING - CC
31/01/2025;Gennaio;mc;;9,55 €;Bar e Ristoranti;ING - CC
31/01/2025;Gennaio;bla bla car;24,00 €;;Viaggi e Trasporti;Paypal
31/01/2025;Gennaio;pranzo;;8,00 €;Bar e Ristoranti;Buoni Pasto
01/02/2025;Febbraio;colazione bar;;10,40 €;Bar e Ristoranti;Satispay
01/02/2025;Febbraio;pastificio savona;;3,00 €;Spesa;Satispay
01/02/2025;Febbraio;birre;;12,00 €;Bar e Ristoranti;ING - CC
01/02/2025;Febbraio;cena fronte del porto;;11,50 €;Bar e Ristoranti;ING - CC
01/02/2025;Febbraio;ricarica buoni pasto;112,00 €;;Altre Entrate;Buoni Pasto
02/02/2025;Febbraio;aws;;4,04 €;Casa e Utenze;Buddybank
02/02/2025;Febbraio;rata airpods 4;;36,00 €;Shopping;Buddybank
02/02/2025;Febbraio;metro milano;;4,40 €;Viaggi e Trasporti;ING - CC
02/02/2025;Febbraio;pranzo vaze;;10,00 €;Bar e Ristoranti;Paypal
03/02/2025;Febbraio;pac;370,00 €;;Trasferimenti;Investimenti
03/02/2025;Febbraio;trasferimento;52,39 €;;Trasferimenti;Buddybank
03/02/2025;Febbraio;spesa;2,00 €;;Spesa;Cash
03/02/2025;Febbraio;commissioni;;0,07 €;Altro;Buddybank
03/02/2025;Febbraio;ricarica satispay;43,10 €;;Trasferimenti;Satispay
03/02/2025;Febbraio;caffè;;2,40 €;Bar e Ristoranti;Satispay
03/02/2025;Febbraio;pac;;170,00 €;Trasferimenti;ING - CC
03/02/2025;Febbraio;pac;;200,00 €;Trasferimenti;ING - CC
03/02/2025;Febbraio;bla bla car;24,00 €;;Viaggi e Trasporti;Paypal
03/02/2025;Febbraio;trasferimento;;52,39 €;Trasferimenti;Paypal
03/02/2025;Febbraio;spesa;;32,00 €;Spesa;Buoni Pasto
04/02/2025;Febbraio;custodia airpods;;15,99 €;Shopping;Revolut
04/02/2025;Febbraio;trasferimento pt;300,00 €;;Trasferimenti;Revolut
04/02/2025;Febbraio;trasferimento pt;;300,00 €;Trasferimenti;ING - CC
05/02/2025;Febbraio;caffè bar;;3,70 €;Bar e Ristoranti;Satispay
05/02/2025;Febbraio;ricarica satispay;;43,10 €;Trasferimenti;ING - CC
05/02/2025;Febbraio;pranzo porto;;19,30 €;Bar e Ristoranti;ING - CC
06/02/2025;Febbraio;bar;;2,40 €;Bar e Ristoranti;Satispay
06/02/2025;Febbraio;macellaio;;15,40 €;Spesa;Satispay
06/02/2025;Febbraio;spesa;;10,19 €;Spesa;ING - CC
06/02/2025;Febbraio;spesa;;2,80 €;Spesa;ING - CC
07/02/2025;Febbraio;caffè;;1,20 €;Bar e Ristoranti;Satispay
07/02/2025;Febbraio;benzina;;50,61 €;Viaggi e Trasporti;ING - CC
07/02/2025;Febbraio;pranzo;;2,00 €;Bar e Ristoranti;ING - CC
07/02/2025;Febbraio;pranzo;;8,00 €;Bar e Ristoranti;Buoni Pasto
08/02/2025;Febbraio;benzina;;53,01 €;Viaggi e Trasporti;ING - CC
09/02/2025;Febbraio;caffè;;6,10 €;Bar e Ristoranti;Satispay
10/02/2025;Febbraio;amazon prime;;4,99 €;Casa e Utenze;Revolut
10/02/2025;Febbraio;bla bla car;10,00 €;;Viaggi e Trasporti;Paypal
11/02/2025;Febbraio;backblaze;;1,98 €;Casa e Utenze;Buddybank
11/02/2025;Febbraio;prelievo;20,00 €;;Trasferimenti;Cash
11/02/2025;Febbraio;parcheggio;;4,00 €;Viaggi e Trasporti;Cash
11/02/2025;Febbraio;benzina;;15,00 €;Viaggi e Trasporti;Cash
11/02/2025;Febbraio;prelievo;;20,00 €;Trasferimenti;ING - CC
11/02/2025;Febbraio;pranzo;;16,00 €;Bar e Ristoranti;Buoni Pasto
12/02/2025;Febbraio;iliad;;9,99 €;Casa e Utenze;Buddybank
12/02/2025;Febbraio;cursor;;19,82 €;Casa e Utenze;Revolut
12/02/2025;Febbraio;commissioni;;0,03 €;Altro;Buddybank
12/02/2025;Febbraio;bla bla car;12,00 €;;Viaggi e Trasporti;Paypal
13/02/2025;Febbraio;bar;;3,70 €;Bar e Ristoranti;Satispay
13/02/2025;Febbraio;pescheria;;11,69 €;Spesa;ING - CC
13/02/2025;Febbraio;macellaio;;18,90 €;Spesa;ING - CC
13/02/2025;Febbraio;birra;;7,00 €;Bar e Ristoranti;ING - CC
15/02/2025;Febbraio;cinema;;20,00 €;Svago e Intrattenimento;Buddybank
15/02/2025;Febbraio;acqua;;1,20 €;Bar e Ristoranti;Cash
15/02/2025;Febbraio;esselunga;;5,72 €;Spesa;Buddybank
15/02/2025;Febbraio;cena club nautico;;74,00 €;Bar e Ristoranti;ING - CC
15/02/2025;Febbraio;libro;;14,70 €;Shopping;ING - CC
15/02/2025;Febbraio;spesa;;16,00 €;Spesa;Buoni Pasto
16/02/2025;Febbraio;pizze;;26,79 €;Bar e Ristoranti;Buddybank
16/02/2025;Febbraio;cursor;;19,33 €;Casa e Utenze;Revolut
16/02/2025;Febbraio;github copilot;;8,55 €;Casa e Utenze;Buddybank
17/02/2025;Febbraio;referral fee revolut;30,00 €;;Altre Entrate;Revolut
17/02/2025;Febbraio;cacciaviti di precisione x pc;;11,99 €;Shopping;Revolut
18/02/2025;Febbraio;rimborso airpods;199,00 €;;Shopping;Buddybank
18/02/2025;Febbraio;bar;;3,70 €;Bar e Ristoranti;Satispay
18/02/2025;Febbraio;icloud+;;0,99 €;Casa e Utenze;Paypal
20/02/2025;Febbraio;caffè;;2,40 €;Bar e Ristoranti;Satispay
20/02/2025;Febbraio;panetteria;;6,50 €;Spesa;ING - CC
20/02/2025;Febbraio;birra;;6,00 €;Bar e Ristoranti;ING - CC
