"id","date","amount","description","account_id","category_id","type","linked_transaction_id"
"10537","""2025-01-01T11:00:00.000Z""","15.35","mc","7","6","expense",
"10538","""2025-01-01T11:00:00.000Z""","2.40","bar","12","6","expense",
"10539","""2025-01-01T11:00:00.000Z""","168.00","ricarica buoni pasto","13","14","income",
"10540","""2025-01-02T11:00:00.000Z""","23.28","spesa","7","3","expense",
"10541","""2025-01-02T11:00:00.000Z""","24.00","spesa","13","3","expense",
"10542","""2025-01-03T11:00:00.000Z""","55.00","skipass","7","8","expense",
"10543","""2025-01-03T11:00:00.000Z""","42.50","cinema","7","8","expense",
"10544","""2025-01-03T11:00:00.000Z""","20.00","cinema","4","8","income",
"10545","""2025-01-06T11:00:00.000Z""","4.16","aws","7","5","expense",
"10546","""2025-01-06T11:00:00.000Z""","42.28","ricarica satispay","7","20","expense",
"10547","""2025-01-06T11:00:00.000Z""","5.00","ape","4","6","expense",
"10548","""2025-01-06T11:00:00.000Z""","42.28","ricarica satispay","12","20","income",
"10549","""2025-01-07T11:00:00.000Z""","2.20","bar","4","6","expense",
"10550","""2025-01-07T11:00:00.000Z""","1.80","spesa","4","3","expense",
"10551","""2025-01-07T11:00:00.000Z""","1.00","erogazione liberale savona startup","12","10","expense",
"10552","""2025-01-07T11:00:00.000Z""","8.00","spesa","13","3","expense",
"10553","""2025-01-08T11:00:00.000Z""","746.07","chiusura n26","15","20","expense",
"10554","""2025-01-09T11:00:00.000Z""","5.50","macellaio","4","3","expense",
"10555","""2025-01-09T11:00:00.000Z""","2.00","focaccia","4","3","expense",
"10556","""2025-01-09T11:00:00.000Z""","3.99","lettiera gatto","7","3","expense",
"10557","""2025-01-09T11:00:00.000Z""","1.00","avvio cc arancio","7","20","expense",
"10558","""2025-01-09T11:00:00.000Z""","746.07","chiusura n26","10","20","income",
"10559","""2025-01-09T11:00:00.000Z""","1.20","caffè","12","6","expense",
"10560","""2025-01-09T11:00:00.000Z""","9.50","imposta di bollo CD","1","10","expense",
"10561","""2025-01-09T11:00:00.000Z""","1.00","avvio cc arancio","9","20","income",
"10562","""2025-01-10T11:00:00.000Z""","50.00","trasferimento","7","20","expense",
"10563","""2025-01-10T11:00:00.000Z""","1.00","trasferimento","7","20","income",
"10564","""2025-01-10T11:00:00.000Z""","29.34","benzina","7","7","expense",
"10565","""2025-01-10T11:00:00.000Z""","5.50","pranzo","7","6","expense",
"10566","""2025-01-10T11:00:00.000Z""","50.00","trasferimento","9","20","income",
"10567","""2025-01-10T11:00:00.000Z""","1.00","trasferimento","9","20","expense",
"10568","""2025-01-10T11:00:00.000Z""","8.00","pranzo","13","6","expense",
"10569","""2025-01-11T11:00:00.000Z""","50.00","brunch","7","6","expense",
"10570","""2025-01-11T11:00:00.000Z""","1.90","backblaze","7","5","expense",
"10571","""2025-01-11T11:00:00.000Z""","5.20","bar ikea","7","6","expense",
"10572","""2025-01-11T11:00:00.000Z""","24.98","borsone patagonia","7","12","expense",
"10573","""2025-01-11T11:00:00.000Z""","23.00","cinema","7","8","expense",
"10574","""2025-01-11T11:00:00.000Z""","2.60","acqua","4","6","expense",
"10575","""2025-01-12T11:00:00.000Z""","9.99","iliad","7","5","expense",
"10576","""2025-01-12T11:00:00.000Z""","12.00","birre","7","6","expense",
"10577","""2025-01-12T11:00:00.000Z""","45.70","trasferimento","1","20","expense",
"10578","""2025-01-12T11:00:00.000Z""","45.70","trasferimento","9","20","income",
"10579","""2025-01-13T11:00:00.000Z""","10.00","quota associativa savona startup 2025","7","10","expense",
"10580","""2025-01-13T11:00:00.000Z""","24.00","bla bla car","7","7","income",
"10581","""2025-01-13T11:00:00.000Z""","6.40","pranzo","7","6","expense",
"10582","""2025-01-13T11:00:00.000Z""","11.10","benza vespa","7","7","expense",
"10583","""2025-01-13T11:00:00.000Z""","10.00","bla bla car","11","7","income",
"10584","""2025-01-13T11:00:00.000Z""","8.00","pranzo","13","6","expense",
"10585","""2025-01-14T11:00:00.000Z""","21.99","organizer cavi","7","12","expense",
"10586","""2025-01-14T11:00:00.000Z""","0.15","comp","4","10","income",
"10587","""2025-01-14T11:00:00.000Z""","32.00","gastronomia","13","3","expense",
"10588","""2025-01-15T11:00:00.000Z""","3.70","caffè focaccia","7","6","expense",
"10589","""2025-01-15T11:00:00.000Z""","12.00","bla bla car","7","7","income",
"10590","""2025-01-15T11:00:00.000Z""","40.01","trasferimento","10","20","expense",
"10591","""2025-01-15T11:00:00.000Z""","3.70","bar","12","6","expense",
"10592","""2025-01-15T11:00:00.000Z""","40.01","trasferimento","9","20","income",
"10593","""2025-01-16T11:00:00.000Z""","10.15","mc","7","6","expense",
"10594","""2025-01-16T11:00:00.000Z""","102.20","unipolmove","9","7","expense",
"10595","""2025-01-18T11:00:00.000Z""","12.08","pizza","7","6","expense",
"10596","""2025-01-18T11:00:00.000Z""","6.20","colazione bar","12","6","expense",
"10597","""2025-01-18T11:00:00.000Z""","8.00","natta","13","3","expense",
"10598","""2025-01-19T11:00:00.000Z""","34.99","packing cubes","7","12","expense",
"10599","""2025-01-19T11:00:00.000Z""","16.00","natta","13","3","expense",
"10600","""2025-01-20T11:00:00.000Z""","300.00","trasferimento","7","20","expense",
"10601","""2025-01-20T11:00:00.000Z""","300.00","trasferimento","9","20","income",
"10602","""2025-01-20T11:00:00.000Z""","16.00","casa del formaggio","13","3","expense",
"10603","""2025-01-21T11:00:00.000Z""","50.27","benzina","7","7","expense",
"10604","""2025-01-21T11:00:00.000Z""","5.00","pranzo","9","6","expense",
"10605","""2025-01-21T11:00:00.000Z""","2.00","parcheggio","9","7","expense",
"10606","""2025-01-21T11:00:00.000Z""","8.00","pranzo","13","6","expense",
"10607","""2025-01-22T11:00:00.000Z""","3.30","pranzo","7","6","expense",
"10608","""2025-01-22T11:00:00.000Z""","14.50","ape","9","6","expense",
"10609","""2025-01-22T11:00:00.000Z""","8.00","pranzo","13","6","expense",
"10610","""2025-01-23T11:00:00.000Z""","1.50","kfc","12","6","expense",
"10611","""2025-01-24T11:00:00.000Z""","4.90","bar","12","6","expense",
"10612","""2025-01-24T11:00:00.000Z""","47.70","benzina","9","7","expense",
"10613","""2025-01-24T11:00:00.000Z""","20.83","hamericas","9","6","expense",
"10614","""2025-01-25T11:00:00.000Z""","5.00","birra","7","6","expense",
"10615","""2025-01-25T11:00:00.000Z""","30.00","pizza","7","6","expense",
"10616","""2025-01-26T11:00:00.000Z""","39.95","felpa","7","12","expense",
"10617","""2025-01-26T11:00:00.000Z""","6.00","bollino residenti","12","9","expense",
"10618","""2025-01-26T11:00:00.000Z""","42.00","pranzo alassio","9","6","expense",
"10619","""2025-01-27T11:00:00.000Z""","5.86","anthropic","9","5","expense",
"10620","""2025-01-27T11:00:00.000Z""","2.99","google one","11","5","expense",
"10621","""2025-01-27T11:00:00.000Z""","24.00","spesa","13","3","expense",
"10622","""2025-01-28T11:00:00.000Z""","12.00","bla bla car","7","7","income",
"10623","""2025-01-28T11:00:00.000Z""","19.26","cursor","10","5","expense",
"10624","""2025-01-28T11:00:00.000Z""","2.80","burger","12","6","expense",
"10625","""2025-01-28T11:00:00.000Z""","79.60","palestra","9","8","expense",
"10626","""2025-01-29T11:00:00.000Z""","11.00","pranzo","7","6","expense",
"10627","""2025-01-29T11:00:00.000Z""","2.40","bar colaz","12","6","expense",
"10628","""2025-01-29T11:00:00.000Z""","28.20","benzina","9","7","expense",
"10629","""2025-01-30T11:00:00.000Z""","20.18","pranzo","9","6","expense",
"10630","""2025-01-31T11:00:00.000Z""","150.00","trasferimento","10","20","income",
"10631","""2025-01-31T11:00:00.000Z""","2.00","pranzo","7","6","expense",
"10632","""2025-01-31T11:00:00.000Z""","1799.00","stipendio","9","1","income",
"10633","""2025-01-31T11:00:00.000Z""","0.12","commissione tasso di cambio","9","10","expense",
"10634","""2025-01-31T11:00:00.000Z""","150.00","trasferimento","9","20","expense",
"10635","""2025-01-31T11:00:00.000Z""","9.55","mc","9","6","expense",
"10636","""2025-01-31T11:00:00.000Z""","24.00","bla bla car","11","7","income",
"10637","""2025-01-31T11:00:00.000Z""","8.00","pranzo","13","6","expense",
"10638","""2025-02-01T11:00:00.000Z""","10.40","colazione bar","12","6","expense",
"10639","""2025-02-01T11:00:00.000Z""","3.00","pastificio savona","12","3","expense",
"10640","""2025-02-01T11:00:00.000Z""","12.00","birre","9","6","expense",
"10641","""2025-02-01T11:00:00.000Z""","11.50","cena fronte del porto","9","6","expense",
"10642","""2025-02-01T11:00:00.000Z""","112.00","ricarica buoni pasto","13","14","income",
"10643","""2025-02-02T11:00:00.000Z""","4.04","aws","7","5","expense",
"10644","""2025-02-02T11:00:00.000Z""","36.00","rata airpods 4","7","12","expense",
"10645","""2025-02-02T11:00:00.000Z""","4.40","metro milano","9","7","expense",
"10646","""2025-02-02T11:00:00.000Z""","10.00","pranzo vaze","11","6","expense",
"10647","""2025-02-03T11:00:00.000Z""","370.00","pac","14","20","income",
"10648","""2025-02-03T11:00:00.000Z""","52.39","trasferimento","7","20","income",
"10649","""2025-02-03T11:00:00.000Z""","2.00","spesa","4","3","income",
"10650","""2025-02-03T11:00:00.000Z""","0.07","commissioni","7","10","expense",
"10651","""2025-02-03T11:00:00.000Z""","43.10","ricarica satispay","12","20","income",
"10652","""2025-02-03T11:00:00.000Z""","2.40","caffè","12","6","expense",
"10653","""2025-02-03T11:00:00.000Z""","170.00","pac","9","20","expense",
"10654","""2025-02-03T11:00:00.000Z""","200.00","pac","9","20","expense",
"10655","""2025-02-03T11:00:00.000Z""","24.00","bla bla car","11","7","income",
"10656","""2025-02-03T11:00:00.000Z""","52.39","trasferimento","11","20","expense",
"10657","""2025-02-03T11:00:00.000Z""","32.00","spesa","13","3","expense",
"10658","""2025-02-04T11:00:00.000Z""","15.99","custodia airpods","10","12","expense",
"10659","""2025-02-04T11:00:00.000Z""","300.00","trasferimento pt","10","20","income",
"10660","""2025-02-04T11:00:00.000Z""","300.00","trasferimento pt","9","20","expense",
"10661","""2025-02-05T11:00:00.000Z""","3.70","caffè bar","12","6","expense",
"10662","""2025-02-05T11:00:00.000Z""","43.10","ricarica satispay","9","20","expense",
"10663","""2025-02-05T11:00:00.000Z""","19.30","pranzo porto","9","6","expense",
"10664","""2025-02-06T11:00:00.000Z""","2.40","bar","12","6","expense",
"10665","""2025-02-06T11:00:00.000Z""","15.40","macellaio","12","3","expense",
"10666","""2025-02-06T11:00:00.000Z""","10.19","spesa","9","3","expense",
"10667","""2025-02-06T11:00:00.000Z""","2.80","spesa","9","3","expense",
"10668","""2025-02-07T11:00:00.000Z""","1.20","caffè ","12","6","expense",
"10669","""2025-02-07T11:00:00.000Z""","50.61","benzina","9","7","expense",
"10670","""2025-02-07T11:00:00.000Z""","2.00","pranzo","9","6","expense",
"10671","""2025-02-07T11:00:00.000Z""","8.00","pranzo","13","6","expense",
"10672","""2025-02-08T11:00:00.000Z""","53.01","benzina","9","7","expense",
"10673","""2025-02-09T11:00:00.000Z""","6.10","caffè","12","6","expense",
"10674","""2025-02-10T11:00:00.000Z""","4.99","amazon prime","10","5","expense",
"10675","""2025-02-10T11:00:00.000Z""","10.00","bla bla car","11","7","income",
"10676","""2025-02-11T11:00:00.000Z""","1.98","backblaze","7","5","expense",
"10677","""2025-02-11T11:00:00.000Z""","20.00","prelievo","4","20","income",
"10678","""2025-02-11T11:00:00.000Z""","4.00","parcheggio","4","7","expense",
"10679","""2025-02-11T11:00:00.000Z""","15.00","benzina","4","7","expense",
"10680","""2025-02-11T11:00:00.000Z""","20.00","prelievo","9","20","expense",
"10681","""2025-02-11T11:00:00.000Z""","16.00","pranzo","13","6","expense",
"10682","""2025-02-12T11:00:00.000Z""","9.99","iliad","7","5","expense",
"10683","""2025-02-12T11:00:00.000Z""","19.82","cursor","10","5","expense",
"10684","""2025-02-12T11:00:00.000Z""","0.03","commissioni","7","10","expense",
"10685","""2025-02-12T11:00:00.000Z""","12.00","bla bla car","11","7","income",
"10686","""2025-02-13T11:00:00.000Z""","3.70","bar","12","6","expense",
"10687","""2025-02-13T11:00:00.000Z""","11.69","pescheria ","9","3","expense",
"10688","""2025-02-13T11:00:00.000Z""","18.90","macellaio","9","3","expense",
"10689","""2025-02-13T11:00:00.000Z""","7.00","birra","9","6","expense",
"10690","""2025-02-15T11:00:00.000Z""","20.00","cinema","7","8","expense",
"10691","""2025-02-15T11:00:00.000Z""","1.20","acqua","4","6","expense",
"10692","""2025-02-15T11:00:00.000Z""","5.72","esselunga","7","3","expense",
"10693","""2025-02-15T11:00:00.000Z""","74.00","cena club nautico","9","6","expense",
"10694","""2025-02-15T11:00:00.000Z""","14.70","libro","9","12","expense",
"10695","""2025-02-15T11:00:00.000Z""","16.00","spesa","13","3","expense",
"10696","""2025-02-16T11:00:00.000Z""","26.79","pizze","7","6","expense",
"10697","""2025-02-16T11:00:00.000Z""","19.33","cursor","10","5","expense",
"10698","""2025-02-16T11:00:00.000Z""","8.55","github copilot","7","5","expense",
"10699","""2025-02-17T11:00:00.000Z""","30.00","referral fee revolut","10","14","income",
"10700","""2025-02-17T11:00:00.000Z""","11.99","cacciaviti di precisione x pc","10","12","expense",
"10701","""2025-02-18T11:00:00.000Z""","199.00","rimborso airpods","7","12","income",
"10702","""2025-02-18T11:00:00.000Z""","3.70","bar","12","6","expense",
"10703","""2025-02-18T11:00:00.000Z""","0.99","icloud+","11","5","expense",
"10704","""2025-02-20T11:00:00.000Z""","2.40","caffè","12","6","expense",
"10705","""2025-02-20T11:00:00.000Z""","6.50","panetteria","9","3","expense",
"10706","""2025-02-20T11:00:00.000Z""","6.00","birra","9","6","expense",
"10707","""2025-02-21T11:00:00.000Z""","1.20","caffè ","12","6","expense",
"10708","""2025-02-21T11:00:00.000Z""","40.41","benzina","9","7","expense",
"10709","""2025-02-21T11:00:00.000Z""","5.90","pranzo","9","6","expense",
"10710","""2025-02-21T11:00:00.000Z""","60.00","cena bardo","9","6","expense",
"10711","""2025-02-21T11:00:00.000Z""","8.00","pranzo","13","6","expense",
"10712","""2025-02-22T11:00:00.000Z""","51.65","benzina","9","7","expense",
"10713","""2025-02-22T11:00:00.000Z""","0.29","sati","9","14","income",
"10714","""2025-02-22T11:00:00.000Z""","0.14","sati","9","14","income",
"10715","""2025-02-23T11:00:00.000Z""","25.00","pranzo piste","9","6","expense",
"10716","""2025-02-23T11:00:00.000Z""","15.00","pizze","9","6","expense",
"10717","""2025-02-23T11:00:00.000Z""","10.00","bla bla car","11","7","income",
"10718","""2025-02-24T11:00:00.000Z""","44.60","ricarica satispay","12","20","income",
"10719","""2025-02-24T11:00:00.000Z""","36.00","rata airpods","9","12","expense",
"10720","""2025-02-24T11:00:00.000Z""","44.60","ricarica satispay","9","20","expense",
"10721","""2025-02-25T11:00:00.000Z""","14.89","bla bla car","7","7","expense",
"10722","""2025-02-25T11:00:00.000Z""","2.68","bla bla car","7","7","expense",
"10723","""2025-02-25T11:00:00.000Z""","3.10","mc","9","6","expense",
"10724","""2025-02-25T11:00:00.000Z""","18.80","treno sv mi","11","7","expense",
"10725","""2025-02-26T11:00:00.000Z""","1.20","caffè","12","6","expense",
"10726","""2025-02-26T11:00:00.000Z""","31.07","benzina","9","7","expense",
"10727","""2025-02-26T11:00:00.000Z""","3.86","esselunga","9","3","expense",
"10728","""2025-02-27T11:00:00.000Z""","24.00","bla bla car","11","7","income",
"10729","""2025-02-28T11:00:00.000Z""","500.00","trasferimento","10","20","income",
"10730","""2025-02-28T11:00:00.000Z""","2.85","panettiere ","12","3","expense",
"10731","""2025-02-28T11:00:00.000Z""","1814.00","stipendio","9","1","income",
"10732","""2025-02-28T11:00:00.000Z""","4.00","pranzo","9","6","expense",
"10733","""2025-02-28T11:00:00.000Z""","15.00","pizza","9","6","expense",
"10734","""2025-02-28T11:00:00.000Z""","500.00","trasferimento","9","20","expense",
"10735","""2025-02-28T11:00:00.000Z""","4.40","metro","9","7","expense",
"10736","""2025-02-28T11:00:00.000Z""","2.99","google one","11","5","expense",
"10737","""2025-02-28T11:00:00.000Z""","8.00","pranzo","13","6","expense",
"10738","""2025-03-01T11:00:00.000Z""","25.00","parrucchiere","9","11","expense",
"10739","""2025-03-01T11:00:00.000Z""","7.61","spesa","9","3","expense",
"10740","""2025-03-01T11:00:00.000Z""","21.98","lampadina e presa smart tapo","9","12","expense",
"10741","""2025-03-01T11:00:00.000Z""","6.65","mc","9","6","expense",
"10742","""2025-03-01T11:00:00.000Z""","17.00","ape","9","6","expense",
"10743","""2025-03-02T11:00:00.000Z""","0.09","commissioni","7","10","expense",
"10744","""2025-03-02T11:00:00.000Z""","16.00","spesa ","13","3","expense",
"10745","""2025-03-03T11:00:00.000Z""","3.70","bar","12","6","expense",
"10746","""2025-03-03T11:00:00.000Z""","33.47","pollo mercato","9","3","expense",
"10747","""2025-03-03T11:00:00.000Z""","152.00","ricarica buoni pasto","13","14","income",
"10748","""2025-03-04T11:00:00.000Z""","200.00","pac","14","20","income",
"10749","""2025-03-04T11:00:00.000Z""","170.00","xeon","14","20","income",
"10750","""2025-03-04T11:00:00.000Z""","1.12","cursor","10","5","expense",
"10751","""2025-03-04T11:00:00.000Z""","12.39","bla bla car","7","7","expense",
"10752","""2025-03-04T11:00:00.000Z""","4.98","aws","7","5","expense",
"10753","""2025-03-04T11:00:00.000Z""","200.00","pac","9","20","expense",
"10754","""2025-03-04T11:00:00.000Z""","170.00","xeon","9","20","expense",
"10755","""2025-03-04T11:00:00.000Z""","11.99","tag nfc x home automation","9","12","expense",
"10756","""2025-03-04T11:00:00.000Z""","18.80","treno","11","7","expense",
"10757","""2025-03-05T11:00:00.000Z""","2.40","caffè","12","6","expense",
"10758","""2025-03-05T11:00:00.000Z""","16.30","pranzo porto","7","6","expense",
"10759","""2025-03-06T11:00:00.000Z""","4.20","focaccia ","12","3","expense",
"10760","""2025-03-06T11:00:00.000Z""","10.00","rimborso bla bla car","7","7","income",
"10761","""2025-03-06T11:00:00.000Z""","6.00","pranzo","9","6","expense",
"10762","""2025-03-06T11:00:00.000Z""","4.40","metro","9","7","expense",
"10763","""2025-03-06T11:00:00.000Z""","14.00","cibiclette","9","6","expense",
"10764","""2025-03-06T11:00:00.000Z""","8.00","pranzo","13","6","expense",
"10765","""2025-03-07T11:00:00.000Z""","7.80","dominio thetombrider.xyz","7","12","expense",
"10766","""2025-03-07T11:00:00.000Z""","18.00","birre","7","6","expense",
"10767","""2025-03-07T11:00:00.000Z""","12.60","benzina ","9","7","expense",
"10768","""2025-03-07T11:00:00.000Z""","32.00","spesa","13","3","expense",
"10769","""2025-03-08T11:00:00.000Z""","7.00","gelato","12","6","expense",
"10770","""2025-03-08T11:00:00.000Z""","30.92","cinese","7","6","expense",
"10771","""2025-03-09T11:00:00.000Z""","10.90","pansotti","12","3","expense",
"10772","""2025-03-09T11:00:00.000Z""","3.00","gelato","12","6","expense",
"10773","""2025-03-10T11:00:00.000Z""","50.00","risparmi","10","20","income",
"10774","""2025-03-10T11:00:00.000Z""","2.20","metro","7","7","expense",
"10775","""2025-03-10T11:00:00.000Z""","17.90","libri","10","12","expense",
"10776","""2025-03-10T11:00:00.000Z""","2.20","metro","7","7","expense",
"10777","""2025-03-10T11:00:00.000Z""","50.00","risparmi","9","20","expense",
"10779","""2025-03-10T11:00:00.000Z""","2.00","pranzo","9","6","expense",
"10780","""2025-03-10T11:00:00.000Z""","8.00","pranzo","13","6","expense",
"10781","""2025-03-11T11:00:00.000Z""","3.70","caffè ","12","6","expense",
"10782","""2025-03-11T11:00:00.000Z""","1.71","backblaze","9","5","expense",
"10783","""2025-03-11T11:00:00.000Z""","0.03","tassi di cambio","9","10","expense",
"10784","""2025-03-12T11:00:00.000Z""","9.63","github copilot","7","5","expense",
"10785","""2025-03-12T11:00:00.000Z""","21.12","macellaio ","5","3","expense",
"10786","""2025-03-12T11:00:00.000Z""","3.30","burger","7","6","expense",
"10787","""2025-03-12T11:00:00.000Z""","0.11","commissioni bancarie","7","10","expense",
"10788","""2025-03-12T11:00:00.000Z""","6.09","openai","7","5","expense",
"10789","""2025-03-12T11:00:00.000Z""","4.99","prime","9","5","expense",
"10790","""2025-03-13T11:00:00.000Z""","2.40","caffè ","12","6","expense",
"10791","""2025-03-13T11:00:00.000Z""","17.00","pranzo","9","6","expense",
